user_id,Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Steps,Active_Minutes,Sleep_Duration,Heart_Rate_Avg,Daily_Workout_Time,Diet_Quality,Fitness_Level
459,52,Female,40.8,1.71,181,169,73,1.44,303,Yoga,28.3,1.6,3,1,18.31,3439,69,5.31,100,107,Excellent,Advanced
460,19,Male,42.1,1.6,194,148,73,1.27,1305,Cardio,12.7,3.3,2,2,16.65,13429,103,6.09,91,107,Excellent,Advanced
461,34,Male,40,1.82,176,141,66,1.34,1709,Cardio,24.1,3,4,1,15.3,14269,37,4.6,77,107,Excellent,Advanced
462,18,Female,67.1,1.71,174,165,74,1.84,577,\nStrength,27.1,2.7,4,3,24.9,11078,47,6.99,83,107,Excellent,Advanced
463,53,Male,67.2,1.68,190,138,55,1.67,924,,22.6,1.5,3,1,13.91,12520,141,8.34,100,107,Excellent,Advanced
464,29,Male,72.1,2,166,124,67,2,1582,Strength,32.7,3.4,3,2,21.75,14237,60,5.87,96,107,Excellent,Advanced
465,49,Female,62,1.87,195,125,74,1.04,842,HIIT,20,3.5,3,1,22.02,3287,71,6.91,69,107,Excellent,Advanced
466,52,Male,71.3,1.84,197,126,73,1.22,765,Cardio,29.2,1.8,2,,12.32,8237,64,5.79,63,107,Excellent,Advanced
467,28,,85.6,1.54,168,128,59,1.45,860,Yoga,14.9,2.4,4,1,12.32,7467,121,4.24,78,107,Excellent,Advanced
468,21,Male,51.9,1.57,170,167,73,1.25,1082,Strength,27.5,1.6,3,2,18.89,11677,49,6.57,100,107,Excellent,Advanced
469,33,Male,92.8,1.59,161,150,52,1.19,1640,Cardio,23.8,2.6,3,3,15.84,6002,72,6.72,80,107,Excellent,Advanced
470,58,Female,40,1.7,193,120,52,0.99,1178,Yoga,21.2,2.5,5,1,12.32,14222,99,7.43,83,107,Excellent,Advanced
471,36,Female,44.9,1.79,166,120,74,1.66,811,HIIT,16.2,3.3,3,1,29.4,4570,120,8.12,60,107,Excellent,Advanced
472,33,Male,78.6,1.7,161,168,65,2,855,Cardio,10,3.2,2,1,16.53,5243,125,7.89,86,107,Excellent,Advanced
473,42,Female,54,1.69,179,169,53,1.19,458,,25.7,3.3,3,3,14.91,8575,71,4.51,69,107,Excellent,Advanced
474,29,Male,53.8,1.66,163,133,64,2,1187,Strength,34.5,1.5,4,1,23.95,11247,78,7.98,95,107,Excellent,Advanced
475,26,Female,91.7,1.58,167,120,52,1.65,1334,Cardio,29.2,2.6,2,2,,13050,164,8.23,95,107,Excellent,Advanced
476,44,Male,63.3,1.88,189,150,74,1.02,1184,Strength,16.5,3.5,4,1,13.03,14505,59,6.09,64,107,Excellent,Advanced
477,42,Female,98.1,1.73,165,120,69,1.52,477,Yoga,21.7,1.9,2,2,15.29,4909,34,6.4,79,107,Excellent,Advanced
478,39,Male,129.9,1.81,190,140,74,1.89,,HIIT,14.9,2.5,2,3,26.54,14322,143,8.45,98,107,Excellent,Advanced
479,56,,40,1.85,194,158,67,1.43,1633,Yoga,30.6,1.9,4,1,21.57,11570,117,4.86,79,107,Excellent,Advanced
480,32,Male,87.2,1.5,193,152,58,1.28,1538,Cardio,23.2,2.1,3,3,16.29,3471,60,5.11,69,107,Excellent,Advanced
481,31,Male,64.8,1.71,174,164,57,1.64,857,HIIT,26.2,2.7,4,,23.64,14272,62,5.05,65,74,Excellent,Intermediate
482,48,Male,51.6,1.8,181,161,68,0.82,1487,Cardio,22.5,1.9,4,2,13.29,9960,58,4.39,90,74,Excellent,Intermediate
483,21,Male,69.4,1.85,177,153,74,1.55,879,Strength,10,2.4,3,2,17.58,10065,57,4.16,92,74,Excellent,Intermediate
484,38,Female,77.4,1.54,169,149,50,2,867,Strength,29,3.6,5,2,13.58,12718,60,8.54,62,74,Excellent,Intermediate
485,58,Female,76.3,1.56,190,145,72,2,913,Strength,,3.3,3,3,16.67,4085,32,7.77,67,74,Excellent,Intermediate
486,42,Female,82.3,1.94,198,132,57,1.46,1050,Yoga,10,3.2,3,2,20.23,12859,81,4.92,82,74,Excellent,Intermediate
487,40,Female,95.5,1.84,196,144,68,1.94,1568,Yoga,26.7,3.7,3,1,17.55,3479,101,8.74,82,74,Excellent,Intermediate
488,19,Male,60.7,1.7,183,128,74,1.22,817,Strength,20.9,2.8,4,1,35.87,8770,158,7.9,99,74,Excellent,Intermediate
489,34,Male,40,1.88,188,131,54,1.29,840,Cardio,11.9,1.9,3,3,18.81,6962,47,4.5,97,74,Excellent,Intermediate
490,37,Female,63.1,1.84,185,158,56,1.3,1248,HIIT,31.9,3.5,3,1,26.39,3229,79,8.82,70,74,Excellent,Intermediate
491,51,Female,55.7,1.5,188,143,58,1.19,1302,HIIT,27.7,2,3,1,28.28,11800,55,8.62,92,74,Excellent,Intermediate
492,52,Male,53.1,1.55,184,167,50,1.95,1205,Strength,14.6,3.5,5,1,12.32,14595,180,4.93,66,74,Excellent,Intermediate
493,52,Female,65.8,1.82,168,167,71,1.15,751,Strength,17.1,1.5,3,1,32.86,5963,127,6.12,92,74,Excellent,Intermediate
494,18,Female,,1.72,169,136,66,2,945,Strength,22.8,3.3,4,2,26.19,6728,110,4.62,67,74,Excellent,Intermediate
495,35,Female,40.4,1.71,176,130,70,1.97,1110,HIIT,17,3.6,4,3,29.32,11515,122,7.52,95,74,Excellent,Intermediate
496,45,Male,40,1.75,194,120,50,1.67,1296,Yoga,28.8,1.9,3,3,26.88,14831,113,6.47,84,74,Excellent,Intermediate
497,31,Male,40,2,176,162,69,1.45,949,Cardio,26.9,3.2,3,2,30.36,7646,109,7.44,88,74,Excellent,Intermediate
498,27,Male,40,1.68,166,128,59,1.6,1112,Yoga,10,2.6,4,2,19.67,6700,104,8.92,87,74,Excellent,Intermediate
499,27,Female,60.1,1.94,184,162,74,2,,Strength,27.2,3.4,3,1,14.02,6093,151,8.7,83,74,Excellent,Intermediate
500,18,Male,73,1.89,172,153,56,1.19,596,Cardio,15.6,3.4,5,1,17.22,5937,155,7.36,85,74,Excellent,Intermediate
501,35,Female,127.6,1.65,174,156,56,1.9,1084,HIIT,20.4,3.4,5,1,15.36,10177,51,4.6,85,74,Excellent,Intermediate
502,49,Female,,1.72,171,122,73,1.02,614,HIIT,21.6,1.8,4,1,18.86,9563,56,7.71,70,74,Excellent,Intermediate
503,18,,40,1.68,178,147,71,2,831,HIIT,17.3,3.5,4,1,24.89,4060,80,5.69,98,74,Excellent,Intermediate
504,19,Female,43.6,1.7,168,126,55,1.42,685,HIIT,23.9,1.5,4,3,19.35,9623,138,7.63,77,74,Excellent,Intermediate
505,24,Male,54,1.71,191,169,71,1.23,730,Cardio,29,2.7,2,2,15.39,14689,99,7.78,85,74,Excellent,Intermediate
506,44,Male,53.1,1.64,160,160,74,1.65,749,Cardio,27,3.2,,2,27.79,8834,133,8.94,92,74,Excellent,Intermediate
507,21,Female,87.8,1.88,195,133,74,1.95,621,HIIT,19.9,3.4,3,3,20.22,7569,146,4.54,76,74,Excellent,Intermediate
508,42,Male,67.4,1.91,191,146,52,1.26,,HIIT,26.9,3.7,3,3,23.62,11017,64,4.15,63,74,Excellent,Intermediate
509,38,Male,82.7,2,178,138,72,1.46,1219,Yoga,25.8,3.6,4,1,24.74,4117,36,8.86,84,74,Excellent,Intermediate
510,33,Male,84,1.7,194,156,73,0.5,580,Cardio,20.5,2.5,3,3,13.38,12905,69,5.51,99,74,Excellent,Intermediate
511,18,Female,58.4,1.87,167,168,74,1.42,1306,Cardio,26.9,3.2,2,1,17.66,4578,163,7.84,89,42,Poor,Intermediate
512,48,Male,63.8,1.79,185,135,71,1.69,1242,HIIT,29.7,1.5,4,1,25.54,6308,157,6.45,76,42,Poor,Intermediate
513,45,Male,94.6,1.69,178,147,56,1.95,1105,Yoga,29.9,1.8,2,2,15.15,11887,168,6.73,62,42,Poor,Intermediate
514,21,Female,40,1.58,165,134,69,1.05,624,Strength,29.2,1.7,3,1,12.47,10051,60,5.92,80,42,Poor,Intermediate
515,59,Female,71.1,1.73,184,125,66,1.07,691,Cardio,25.2,2.6,2,3,34.41,9165,39,4.16,95,42,Poor,Intermediate
516,19,,116.6,1.72,187,126,70,1.1,779,Strength,23.8,2.6,3,2,16.61,13803,107,8.42,70,42,Poor,Intermediate
517,36,Female,55,1.77,161,142,74,1.04,1564,,19.8,3.2,2,2,21.97,11052,109,7.58,91,42,Poor,Intermediate
518,33,Female,76.3,1.88,169,161,69,,1265,Cardio,24.2,1.5,4,2,14.97,4792,155,7.3,94,42,Poor,Intermediate
519,22,Female,48.6,1.72,177,156,70,1.39,708,Yoga,25.4,3.4,3,1,20.42,12375,173,8.27,92,42,Poor,Intermediate
520,42,Male,57.3,1.73,194,153,65,1.97,1132,Strength,22.2,3.2,4,1,19.54,3913,156,6.96,84,42,Poor,Intermediate
521,36,Female,55.9,1.76,181,169,74,1.91,474,Strength,18.2,1.5,5,1,12.32,13107,102,5.6,61,42,Poor,Intermediate
522,41,Male,73.2,2,179,161,58,1.06,758,HIIT,17.6,1.8,2,1,18.61,12674,123,5.74,97,42,Poor,Intermediate
523,23,Male,58.7,1.69,189,135,,1.37,1231,Yoga,26.6,3.3,2,1,23.64,3440,117,5.9,87,42,Poor,Intermediate
524,24,Female,91.8,1.82,171,140,52,2,1065,Strength,16.1,2.7,4,2,24.37,8654,135,5.76,75,42,Poor,Intermediate
525,42,Female,47.7,1.72,183,150,57,1.95,782,Yoga,31.4,3.1,3,,14.27,7056,109,6.96,64,42,Poor,Intermediate
526,55,Female,51.9,1.64,171,150,68,1.05,1619,Strength,22.8,2.2,5,3,25.06,7995,73,4.1,80,42,Poor,Intermediate
527,36,Male,60.1,1.78,186,169,51,1.46,1108,Cardio,35,2,3,1,16.06,3612,138,6.84,86,42,Poor,Intermediate
528,18,Female,40,1.56,196,149,56,0.79,1027,Strength,27.6,1.9,2,1,12.98,7368,150,6.94,80,42,Poor,Intermediate
529,23,Female,64.7,2,184,169,55,1.46,860,Strength,32.4,2.5,5,2,20.45,9188,112,6.86,91,42,Poor,Intermediate
530,24,Male,73,1.61,188,131,60,0.56,864,Yoga,27.4,3.6,2,2,12.36,4639,82,5.68,92,42,Poor,Intermediate
531,41,Male,90.3,1.76,180,,70,1.96,1596,Cardio,22.6,2.3,4,1,12.32,13934,106,5.82,87,42,Poor,Intermediate
532,48,Female,79.1,1.63,168,135,53,1.15,1302,Yoga,35,3.3,4,1,27.86,6305,49,8.2,94,42,Poor,Intermediate
533,47,Female,82.2,1.72,174,126,70,1.15,1211,Yoga,25,3.7,2,3,12.4,6507,42,5.49,96,42,Poor,Intermediate
534,54,Male,40,1.79,162,162,54,2,444,Yoga,16.9,2.3,5,3,22.6,9586,53,7.59,97,42,Poor,Intermediate
535,33,Female,60.7,1.57,179,135,69,1.24,964,HIIT,26,2.9,3,1,15.19,4552,99,4.34,93,42,Poor,Intermediate
536,29,,48.9,1.7,194,145,55,1.12,487,Cardio,33.9,2.2,5,2,28.96,10786,118,7.98,79,42,Poor,Intermediate
537,50,Female,76.4,1.54,172,133,71,1.3,1311,Strength,25.2,2.1,3,1,33.64,11268,140,7.32,80,42,Poor,Intermediate
538,49,Female,95.6,1.67,164,134,74,1.71,466,Cardio,26,1.8,3,2,14.67,6278,94,7.12,89,42,Poor,Intermediate
539,25,Female,85.1,1.98,185,148,58,1.29,785,Yoga,22.5,3.5,4,1,14.37,14002,76,8.4,100,42,Poor,Intermediate
540,34,Female,72.9,1.71,164,122,73,1.78,432,HIIT,27.8,1.5,2,2,20.67,14523,77,6.88,73,42,Poor,Intermediate
541,30,Female,42.2,1.63,177,134,74,2,685,Yoga,26.4,3.7,3,2,28.27,13826,149,5.34,100,65,Poor,Intermediate
542,49,Male,40,1.76,193,124,72,1.3,1196,Cardio,11.2,2.2,4,2,16.86,11728,141,8.67,100,65,Poor,Intermediate
543,18,Male,51.8,1.58,164,164,51,0.84,1110,Cardio,25.8,3.5,3,3,16.04,3981,123,6.31,75,65,Poor,Intermediate
544,31,Male,91.5,,189,169,58,1.51,786,Yoga,24.6,3.6,3,1,19.09,5465,106,8.22,86,65,Poor,Intermediate
545,22,Male,64.6,2,196,137,73,0.85,704,HIIT,21.4,2.5,3,3,22.43,8220,46,7.17,86,65,Poor,Intermediate
546,47,Male,66.5,1.79,193,155,51,0.69,1656,,24,2.8,5,1,16.95,7373,71,5.28,98,65,Poor,Intermediate
547,54,Male,55.2,1.8,168,137,55,2,1472,HIIT,27,3.1,4,2,23.47,6868,59,4.75,61,65,Poor,Intermediate
548,49,Female,105.3,1.83,165,150,70,1.53,699,Strength,31.4,3.7,3,1,39.35,7023,109,6.32,95,65,Poor,Intermediate
549,18,Male,74.1,1.76,170,135,62,1.24,1214,Cardio,13.7,2.5,3,2,13.25,10145,39,5.01,77,65,Poor,Intermediate
550,46,Female,40,1.75,170,142,63,0.96,919,Cardio,22.3,2.4,4,2,12.41,5235,101,7.29,71,65,Poor,Intermediate
551,18,Male,91.1,1.76,197,162,59,1.52,1362,Cardio,28.8,3.4,3,1,14.34,13556,154,7.91,63,65,Poor,Intermediate
552,21,Female,49.2,1.64,177,164,53,0.58,1114,HIIT,23.3,2.9,3,1,23.08,4375,106,8.34,86,65,Poor,Intermediate
553,44,Female,87.8,1.77,163,157,67,1.18,,Yoga,23.7,2,4,2,12.32,8954,53,5.98,68,65,Poor,Intermediate
554,48,Female,40,1.77,180,127,54,1.48,1460,HIIT,27.2,2.4,5,3,18.51,6867,158,8.66,93,65,Poor,Intermediate
555,48,Female,60,1.92,165,140,72,2,1751,HIIT,11.1,1.5,2,2,32.68,13882,164,5.26,65,65,Poor,Intermediate
556,21,Male,56.1,1.54,\t182,168,52,1.34,1083,Strength,33.1,2.5,4,2,18.76,6900,110,5.65,97,65,Poor,Intermediate
557,51,Female,46.2,1.73,192,169,62,1.55,1389,Cardio,32.8,1.7,,3,14.87,9388,90,8.68,73,65,Poor,Intermediate
558,36,Male,68.2,1.91,188,131,69,2,1162,Strength,33.1,1.5,3,3,,5363,84,8.85,88,65,Poor,Intermediate
559,44,Male,56.1,1.68,191,152,69,1.8,1223,Strength,15.4,2.6,4,2,17.28,9690,180,4.28,94,65,Poor,Intermediate
560,24,Male,51.7,1.93,182,158,70,,1783,Yoga,24.4,2.7,2,1,16.29,9139,58,5.58,87,65,Poor,Intermediate
561,51,Male,65.8,1.62,191,169,74,1.36,1073,HIIT,28.2,3.5,2,,21.21,10780,101,8.4,69,65,Poor,Intermediate
562,32,Female,40,1.88,174,148,50,1.94,1436,Strength,27.4,,2,3,12.32,8947,124,8.11,61,65,Poor,Intermediate
563,45,Male,59.5,1.61,194,121,55,1.3,741,Cardio,24.5,2,4,3,21.71,13574,38,8.21,63,65,Poor,Intermediate
564,58,Male,73.5,1.93,175,169,61,1.45,1019,HIIT,14,2.7,2,2,14.74,14316,91,5.26,84,65,Poor,Intermediate
565,21,Male,54.7,1.56,191,157,55,1.13,682,\tCardio,25.2,1.5,4,2,,8067,122,8.52,67,65,Poor,Intermediate
566,18,Female,52.1,1.73,183,135,74,1.4,1141,Cardio,23.9,3.1,3,1,12.32,11763,143,5.94,85,65,Poor,Intermediate
567,59,Female,60.6,1.92,180,168,55,1.46,1046,,24.6,2,3,3,30.51,7186,90,5.49,70,65,Poor,Intermediate
568,20,Female,104.3,1.79,197,158,72,1.3,933,Strength,23.4,3.2,2,3,16.4,10190,134,7.95,77,65,Poor,Intermediate
569,39,Female,65.3,1.61,187,141,74,1.69,1783,HIIT,30.3,3.4,3,3,21.86,4312,155,6.36,86,65,Poor,Intermediate
570,52,Male,47.8,1.79,168,144,68,0.95,715,Cardio,27.3,2.4,5,3,17.21,8451,55,8.12,76,65,Poor,Intermediate
571,18,Female,51.1,1.83,180,130,57,1.05,939,Strength,17,3,3,2,16.85,11295,137,7.01,95,47,Average,Intermediate
572,34,Male,62.5,1.87,185,167,73,0.96,1353,Cardio,29.6,2.3,4,1,31.91,8353,37,7.81,71,47,Average,Intermediate
573,59,Female,57.4,1.56,190,156,72,1.15,813,Cardio,18.5,2.7,3,2,25.59,13324,64,4.02,72,47,Average,Intermediate
574,37,Male,108.7,1.55,163,122,68,1.19,1104,Strength,26.9,1.6,4,2,26.23,13294,177,4.41,70,47,Average,Intermediate
575,41,Female,40,1.6,164,143,73,1.52,727,Yoga,23.5,3.4,5,2,15.53,7089,63,8.23,86,47,Average,Intermediate
576,53,Female,65.2,1.72,196,152,50,1.87,1073,Cardio,24.8,3.7,,1,22.39,8233,64,5.3,97,47,Average,Intermediate
577,23,Male,90,1.58,172,164,60,0.78,682,Strength,25,3.2,4,1,12.32,8367,80,4.42,83,47,Average,Intermediate
578,28,Female,91.6,1.68,191,128,59,0.68,1783,Yoga,19.1,2.6,2,2,12.48,5980,126,8.72,96,47,Average,Intermediate
579,48,Female,84.1,1.69,187,136,56,1.68,758,Strength,22.2,2.3,3,3,16.11,6677,35,8.62,99,47,Average,Intermediate
580,43,Female,57.8,1.57,190,142,56,1.39,698,Strength,21.3,1.6,4,1,20.73,13266,52,8.87,72,47,Average,Intermediate
581,55,Female,100,1.63,183,155,74,2,1256,Cardio,10.5,2.4,3,2,12.32,7289,73,4.25,99,47,Average,Intermediate
582,30,Female,61.9,1.55,181,150,72,1.93,1117,HIIT,27.1,3.6,3,2,12.32,10027,68,4.45,83,47,Average,Intermediate
583,19,Male,58.6,1.64,187,135,66,1.18,1564,Yoga,10,3.4,3,2,21.91,5787,60,4.07,93,47,Average,Intermediate
584,21,Male,80.8,1.8,195,137,64,1.1,1285,Cardio,29.8,2.7,3,3,21.28,10129,146,8.14,91,47,Average,Intermediate
585,21,Female,42.7,1.81,166,139,71,1.42,1044,Cardio,26,3.2,3,3,12.32,4941,82,4.95,77,47,Average,Intermediate
586,29,Male,60.9,1.86,191,152,60,1.79,1108,Strength,31.5,1.5,4,3,42.08,7717,127,4.65,73,47,Average,Intermediate
587,40,Male,78.8,1.7,176,169,63,1.78,1179,Strength,21.1,1.9,2,1,17.55,12831,102,7.63,72,47,Average,Intermediate
588,37,Female,85.3,1.69,162,136,71,1.49,859,HIIT,22.8,3.4,4,2,19.95,9853,67,4.14,76,47,Average,Intermediate
589,47,Female,84.8,1.58,180,157,54,0.83,940,Cardio,26.3,1.9,5,2,17.99,6858,93,5.85,89,47,Average,Intermediate
590,50,Female,72.7,1.74,191,,67,0.77,1047,Cardio,15.5,3.5,3,3,12.32,4404,64,8.36,85,47,Average,Intermediate
591,43,Male,57.4,1.69,166,143,66,1.14,775,Strength,23.7,3.3,3,1,13.31,14253,128,7.54,98,47,Average,Intermediate
592,33,Male,40,1.81,189,157,71,1.32,1298,HIIT,20.1,3.4,2,3,16.68,7198,172,4.29,81,47,Average,Intermediate
593,33,Female,129.9,1.56,189,138,73,2,993,Strength,34,2.3,3,2,24.54,6847,120,8.98,98,47,Average,Intermediate
594,50,Male,55,1.5,177,120,69,1.07,715,Yoga,27.2,1.7,4,2,26.53,14625,41,4.03,92,47,Average,Intermediate
595,45,Male,,1.7,162,120,63,1.79,731,Yoga,31.7,,4,3,13.71,13152,131,7.36,68,47,Average,Intermediate
596,18,Male,41.6,1.94,168,153,57,0.86,1068,Strength,25,3.1,4,1,19.74,12167,75,5.3,92,47,Average,Intermediate
597,43,Male,56.9,1.68,161,154,61,2,742,Strength,26.5,2,3,1,21.48,11074,149,4.66,80,47,Average,Intermediate
598,20,Female,84.8,1.74,165,151,59,1.49,717,HIIT,24.9,3.4,4,3,14.13,14636,66,5.3,80,47,Average,Intermediate
599,24,Female,96.9,1.88,181,166,72,1.36,1220,Cardio,15.8,3.7,3,2,30.18,3723,157,8.36,77,47,Average,Intermediate
600,24,Male,81.2,1.56,182,166,66,1.62,1148,Yoga,25.5,2.7,4,3,31.34,8907,102,8.51,76,47,Average,Intermediate
601,53,Female,70.5,1.9,198,146,69,0.84,766,Cardio,31.9,2.9,5,1,16.4,13042,97,6.58,87,43,Good,Beginner
602,38,Male,58.7,1.72,189,152,58,1.21,1063,HIIT,21.2,1.6,3,1,23.03,5703,155,7.82,69,43,Good,Beginner
603,26,Male,62,1.65,199,142,56,1.61,1361,HIIT,35,3.5,2,3,13.96,12104,142,4.27,69,43,Good,Beginner
604,18,Male,100.6,1.74,179,138,68,1.2,1261,Cardio,23.2,3.5,2,2,20.9,3894,39,6.35,70,43,Good,Beginner
605,33,Female,63,1.71,189,126,57,1.24,1175,Strength,25.6,3.2,3,1,15.02,14566,59,8.98,91,43,Good,Beginner
606,45,Male,52.7,1.82,172,129,69,0.62,1783,Yoga,22.9,3.2,3,1,24.95,3668,173,6.43,91,43,Good,Beginner
607,29,Male,79.4,1.71,186,124,74,2,877,Yoga,29.6,1.5,3,2,27.97,4843,67,4.62,65,43,Good,Beginner
608,18,,87.4,1.87,182,162,65,,1303,Strength,27.6,3.6,2,3,12.32,6337,76,8.17,92,43,Good,Beginner
609,57,Female,57.6,1.86,169,120,73,1.99,929,HIIT,22.9,2.4,,2,14.02,7469,179,5.06,60,43,Good,Beginner
610,37,Male,108.5,1.97,192,120,74,2,1091,Cardio,27.2,1.5,2,1,23.59,11618,76,6.08,64,43,Good,Beginner
611,52,Female,75.7,1.61,,139,64,2,1783,Yoga,24.6,2.8,2,2,17.49,7033,54,8.44,61,43,Good,Beginner
612,34,Female,73.9,1.75,192,165,74,1.64,816,Cardio,35,1.5,3,2,22.1,7657,61,5.97,97,43,Good,Beginner
613,57,Male,67.9,1.78,187,163,59,2,1168,Yoga,23.9,3.7,3,2,,4737,69,4.14,89,43,Good,Beginner
614,36,Male,72.8,1.63,184,130,68,1.44,669,HIIT,25.1,1.7,3,3,12.32,14595,146,7.14,77,43,Good,Beginner
615,34,Female,57.6,1.7,167,141,68,0.88,710,Cardio,14.7,1.5,3,2,15.66,12735,114,8.85,99,43,Good,Beginner
616,48,Female,49.3,1.74,179,142,74,1.31,723,HIIT,19.2,3.5,4,3,19.2,10423,175,4.65,63,43,Good,Beginner
617,18,Male,41.6,1.85,181,169,52,2,1130,Yoga,14.5,3.4,5,3,12.32,13545,44,7.72,95,43,Good,Beginner
618,33,Male,65.6,1.87,189,168,56,1.16,1437,Yoga,16.3,3.5,2,1,17.53,12867,132,5.28,75,43,Good,Beginner
619,35,Female,47.5,1.81,,124,69,1.78,533,Yoga,26.4,3.2,3,2,26.59,9535,83,4.81,85,43,Good,Beginner
620,19,,86.3,1.89,164,131,74,0.97,1175,HIIT,19.5,2.4,,2,28.62,7668,69,4.6,91,43,Good,Beginner
621,43,Female,73.6,1.79,170,169,72,1.16,1408,Strength,17.4,1.5,4,1,14.69,10083,109,8.52,98,43,Good,Beginner
622,48,,40,2,194,159,70,1.48,419,Cardio,13.5,2.5,4,2,21.29,5151,54,8.16,92,43,Good,Beginner
623,49,Female,56,1.6,183,169,66,0.98,1263,Strength,27.9,1.7,5,1,20.47,6274,129,6.38,96,43,Good,Beginner
624,48,Female,40,1.66,189,120,74,1.36,614,Cardio,14.8,2.1,3,1,12.32,12835,138,8.05,99,43,Good,Beginner
625,44,Female,88.2,1.88,192,169,51,2,1783,HIIT,28.5,1.9,4,2,12.32,6053,139,4.46,92,43,Good,Beginner
626,27,Female,55.8,1.67,192,167,74,2,642,Yoga,28.8,3.4,3,2,28.68,8599,87,7.24,69,43,Good,Beginner
627,41,Male,73.2,1.75,190,137,58,1.24,1048,Strength,30.4,3.4,2,3,23.65,11115,164,4.42,89,43,Good,Beginner
628,44,Male,40,1.72,179,124,74,0.85,1043,Cardio,22.8,2.1,5,3,20.78,10165,152,5.5,68,43,Good,Beginner
629,54,Male,58.5,1.96,185,133,60,2,1131,Yoga,13.1,2.5,3,1,18.11,14211,93,6.62,78,43,Good,Beginner
630,45,Female,57.5,1.55,190,123,54,1.33,893,HIIT,28.8,3.3,3,1,17.65,12314,49,8.59,92,43,Good,Beginner
631,24,Female,55.6,1.73,175,120,71,1.09,775,Yoga,17.2,3,4,2,22.74,4763,135,4.47,96,55,Excellent,Advanced
632,55,Female,,1.83,194,162,72,1.99,1374,HIIT,27.6,2,3,1,17.74,7151,179,4.41,92,55,Excellent,Advanced
633,32,Female,42.4,1.79,176,135,56,1.63,843,Yoga,27.1,1.5,2,2,18.17,3266,148,4.9,71,55,Excellent,Advanced
634,18,,40,1.68,163,137,61,1.1,1470,Cardio,31.7,1.7,4,3,19.34,9438,136,8.38,79,55,Excellent,Advanced
635,33,Female,77,1.69,191,154,58,1.16,1187,Cardio,29.1,3.2,4,2,12.32,8143,146,7.79,88,55,Excellent,Advanced
636,28,Female,74.7,1.69,163,158,58,1.37,854,HIIT,14,3.4,4,2,13.79,13220,117,8.83,71,55,Excellent,Advanced
637,59,Male,65.1,1.68,161,144,62,2,1050,Strength,26.1,2,5,3,23.59,6458,96,8.36,66,55,Excellent,Advanced
638,21,Female,40,1.8,176,122,73,1.37,1171,HIIT,10,3.7,3,1,19.84,10107,31,5.97,60,55,Excellent,Advanced
639,23,Male,64.3,1.58,160,123,62,1.02,1360,Strength,22,3.4,4,1,19.45,5813,147,7.46,98,55,Excellent,Advanced
640,20,Female,43.6,1.6,165,141,60,1.37,1783,Strength,16.9,1.5,4,1,15.52,14893,122,7.45,85,55,Excellent,Advanced
641,21,Male,100.4,1.62,188,128,73,1.4,614,Strength,29.3,3.3,2,1,33.21,7958,64,4.07,67,55,Excellent,Advanced
642,48,Female,73.8,1.88,191,151,59,1.88,1783,Cardio,19.2,2,4,1,12.32,3260,78,8.3,73,55,Excellent,Advanced
643,23,Male,52.3,1.74,184,122,65,1.38,915,Yoga,10,3.5,4,1,18.17,10882,91,6.18,100,55,Excellent,Advanced
644,51,Male,57.3,1.71,188,169,50,1.09,1375,Strength,28.1,3.6,2,3,19.69,11824,107,7.85,69,55,Excellent,Advanced
645,30,Male,70.7,1.64,196,136,,1.38,1608,Cardio,13,1.6,5,2,20.83,10765,59,4.83,69,55,Excellent,Advanced
646,20,Male,92.8,2,195,154,58,1.44,676,Yoga,24.3,1.5,4,2,16.6,14511,154,6.36,88,55,Excellent,Advanced
647,18,Male,56.2,1.75,164,127,57,1.45,952,Strength,29.6,3.5,4,3,17.29,12588,105,6.85,85,55,Excellent,Advanced
648,24,Female,65.3,1.74,178,168,63,1.12,984,HIIT,25.6,3.3,4,2,19.87,3834,56,7.15,87,55,Excellent,Advanced
649,37,Male,60.2,1.76,194,169,72,1.7,1114,Yoga,31.4,1.8,4,2,32.81,9810,178,6.98,95,55,Excellent,Advanced
650,54,Female,56.6,1.67,199,123,60,1.09,962,Strength,25,3.1,5,2,12.32,7764,132,6.43,97,55,Excellent,Advanced
651,30,Female,40,1.83,188,137,71,1.47,1783,,26.9,3.6,5,3,20.31,14872,154,5.16,63,55,Excellent,Advanced
652,21,,105.4,1.77,188,169,72,1.45,999,Strength,22.5,3.7,3,3,25.09,11655,177,5.58,64,55,Excellent,Advanced
653,34,Male,63.8,1.8,192,129,54,1.92,1229,Cardio,13.8,3.1,4,2,14.24,7388,136,8.45,67,55,Excellent,Advanced
654,42,Female,58.4,1.7,164,156,50,1.43,1427,Strength,23.6,2.5,,1,16.68,11106,118,6.24,87,55,Excellent,Advanced
655,43,Female,43.9,1.82,173,164,72,1.61,567,HIIT,16.3,3.2,3,1,19.29,3340,79,6.35,88,55,Excellent,Advanced
656,24,Male,46,1.71,\n175,126,59,1.18,1725,Strength,26.1,1.5,2,1,15.44,6802,180,8.55,81,55,Excellent,Advanced
657,37,Female,58,1.89,\t182,163,72,1.39,1156,Yoga,26,3.4,5,2,23.79,12864,149,4.66,78,55,Excellent,Advanced
